MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Flatschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2008;0,56093;0,58764;0,574285;2
Flatschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2008;0,0164;0,031;0,0237;2
Flatschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2008;8,3;10,4;9,35;2
Flatschacher See Vorteich [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;1,1;1,1;1,1;2
Flatschacher See Vorteich [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;13,4;17,9;15,65;2
Flatschacher See Vorteich [tief.St.];pH;pH-Wert;;1;1;2008;7,2;7,7;7,45;2
Flatschacher See Vorteich [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;255;278;266,5;2
Flatschacher See Vorteich [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2008;0,0302;0,04;0,0351;2
Flatschacher See Vorteich [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2008;0,003;0,006;0,0045;2
Flatschacher See Vorteich [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2008;1,0745;2,22443;1,649465;2
Flatschacher See Vorteich [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2008;0,007;0,0504;0,0287;2
Flatschacher See Vorteich [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2008;6;11;8,5;2
Forstsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;3,7;4,9;4,166667;3
Forstsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;6,6;23,8;17,7;3
Forstsee [tief.St.];pH;pH-Wert;;1;1;2008;8;8,6;8,4;3
Forstsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;268;273;271,333333;3
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,00575;0,010475;0,007464;3
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2008;0,016;0,024;0,0201;3
Forstsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,001792;0,001448;3
Forstsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,42619;0,76059;0,598667;3
Forstsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2008;0,1987;0,256;0,223233;3
Forstsee [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2008;0,4;2;1,1;3
Goggausee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;1,2;2,9;2,1;3
Goggausee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;5,5;20,9;14;3
Goggausee [tief.St.];pH;pH-Wert;;1;1;2008;8;8,9;8,566667;3
Goggausee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;167;171;169,666667;3
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,032083;0,038417;0,034453;3
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2008;0,048;0,0711;0,056367;3
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;8;2008;0,034898;0,043215;0,039298;3
Goggausee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001489;0,002625;0,001996;3
Goggausee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,00308;0,045117;0,017663;3
Goggausee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2008;0,6;2,012;1,117333;3
Goggausee [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2008;0,2;5,2;3,033333;3
Goggausee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;2,12701;2,48463;2,299083;3
Gösselsdorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;1,8;2;1,9;2
Gösselsdorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;20,3;21,7;21;2
Gösselsdorfer See [tief.St.];pH;pH-Wert;;1;1;2008;7,9;7,9;7,9;2
Gösselsdorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;312;323;317,5;2
Gösselsdorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2008;0,0076;0,009;0,0083;2
Gösselsdorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2008;0,001052;0,0015;0,001276;2
Gösselsdorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2008;0,00308;0,00308;0,00308;2
Gösselsdorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2008;0,002117;0,006;0,004059;2
Gösselsdorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2008;7,9;8;7,95;2
Greifenburger Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;7;10,2;8,6;2
Greifenburger Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;14,5;20,1;17,3;2
Greifenburger Badesee [tief.St.];pH;pH-Wert;;1;1;2008;8,3;8,4;8,35;2
Greifenburger Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;288;317;302,5;2
Greifenburger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,004917;0,00825;0,006584;2
Greifenburger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;12;12;2008;0,003;0,0159;0,00945;2
Greifenburger Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001276;2
Greifenburger Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,681398;0,99454;0,837969;2
Greifenburger Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;12;12;2008;0,058;0,471;0,2645;2
Greifenburger Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;12;12;2008;0,5;13,9;7,2;2
Hafnersee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2,8;3,1;2,933333;3
Hafnersee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;7;18,3;14,133333;3
Hafnersee [tief.St.];pH;pH-Wert;;1;1;2008;7,7;8;7,833333;3
Hafnersee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;375;394;383,333333;3
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,01;0,025317;0,016772;3
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2008;0,012;0,052;0,033333;3
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;10;2008;0,010141;0,028511;0,017833;3
Hafnersee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001351;3
Hafnersee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,110233;0,557659;0,363292;3
Hafnersee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2008;0,065;2,105;0,813333;3
Hafnersee [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2008;0,3;7;2,6;3
Hafnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,16494;0,78467;0,492077;3
Hafnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;10;2008;0,16926;0,679805;0,467249;3
Hörzendorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;1;1,4;1,2;2
Hörzendorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;15,8;22;18,9;2
Hörzendorfer See [tief.St.];pH;pH-Wert;;1;1;2008;8,3;8,3;8,3;2
Hörzendorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;443;447;445;2
Hörzendorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2008;0,0315;0,032538;0,032019;2
