MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Forstsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;20,6;22,2;21,4;2
Forstsee [tief.St.];pH;pH-Wert;;1;1;2009;8,3;8,5;8,4;2
Forstsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;265;269;267;2
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,01335;0,013483;0,013417;2
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2009;0,0102;0,0163;0,01325;2
Forstsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,002542;0,001797;2
Forstsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,48023;0,86189;0,67106;2
Forstsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2009;0,0218;0,0345;0,02815;2
Forstsee [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2009;0,3;0,3;0,3;2
Goggausee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;2,4;3,4;3;4
Goggausee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;5,4;18,6;14;4
Goggausee [tief.St.];pH;pH-Wert;;1;1;2009;7,448;8,2;7,837;4
Goggausee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;148;180;164,25;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,028875;0,059767;0,04024;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2009;0,0351;0,3;0,1186;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;8;2009;0,0376;0,080137;0,057092;4
Goggausee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,004033;0,002097;4
Goggausee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,00308;0,0495;0,01594;4
Goggausee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2009;0,392;2,08;0,979;4
Goggausee [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2009;0,1;3,4;0,95;4
Goggausee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;2,625;42,58592;13,92348;4
