Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Goggausee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,00565;0,031;0,014513;4
Goggausee [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2016;0,1;1,4;0,425;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;8;2016;0,029374;0,039839;0,035378;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2016;0,0176;0,0366;0,023525;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,022125;0,0366;0,028256;4
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2016;0,0366;0,1003;0,06395;4
Goggausee [tief.St.];pH;pH-Wert;;1;1;2016;7,4;8,8;8,025;4
Goggausee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0,268269;4,375812;2,179839;4
Goggausee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,001;0,0026;0,001588;4
Goggausee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,3;3,1;1,975;4
Goggausee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;5,8;21,2;14,45;4
Gösselsdorfer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2016;3;5;4;2
Gösselsdorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;323;341;332;2
Gösselsdorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2016;0,006;0,0136;0,0098;2
Gösselsdorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2016;0,056;0,13868;0,09734;2
Gösselsdorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2016;7,2;8,8;8;2
Gösselsdorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2016;0,0187;0,02;0,01935;2
Gösselsdorfer See [tief.St.];pH;pH-Wert;;1;1;2016;7,9;8,1;8;2
Gösselsdorfer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2016;0,156145;0,579841;0,367993;2
Gösselsdorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2016;0,001;0,001;0,001;2
Gösselsdorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,5;2;1,75;2
Gösselsdorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;17,3;20,6;18,95;2
Greifenburger Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;1;3;2;2
Greifenburger Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;302,2;328,5;315,35;2
Greifenburger Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;12;12;2016;0,37;1,445;0,9075;2
Greifenburger Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,41206;0,9052;0,65863;2
Greifenburger Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;12;12;2016;0,1;0,6;0,35;2
Greifenburger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;12;12;2016;0,0185;0,0248;0,02165;2
Greifenburger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0057;0,0067;0,0062;2
Greifenburger Badesee [tief.St.];pH;pH-Wert;;1;1;2016;8,14;8,24;8,19;2
Greifenburger Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0;0;0;0
Greifenburger Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;12;2016;0;0;0;0
Greifenburger Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001;0,001;2
Greifenburger Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;6;6;6;2
Greifenburger Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;20,1;23,1;21,6;2
Hafnersee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;8;17;12,5;2
Hafnersee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;336;365;350,5;2
Hafnersee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2016;0,0928;0,1154;0,1041;2
Hafnersee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,256;0,30873;0,282365;2
Hafnersee [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2016;0,1;0,1;0,1;2
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0175;0,0213;0,0194;2
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;10;2016;0,018189;0,0213;0,019745;2
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2016;0,0213;0,033;0,02715;2
Hafnersee [tief.St.];pH;pH-Wert;;1;1;2016;7,6;8;7,8;2
Hafnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0;0;0;0
Hafnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;10;2016;0;0;0;0
Hafnersee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,0022;0,0023;0,00225;2
Hafnersee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;2,3;2,5;2,4;2
