Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Turracher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;4;5;4,5;2
Turracher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;130;131;130,5;2
Turracher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2016;0,1149;0,1278;0,12135;2
Turracher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,00565;0,11615;0,0609;2
Turracher See [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2016;0,1;5,8;2,95;2
Turracher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;30;2016;0,008732;0,010392;0,009562;2
Turracher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0085;0,011;0,00975;2
Turracher See [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2016;0,011;0,0168;0,0139;2
Turracher See [tief.St.];pH;pH-Wert;;1;1;2016;7,8;8,3;8,05;2
Turracher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,274882;0,6407;0,457791;2
Turracher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,0025;0,00175;2
Turracher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;4,7;6,4;5,55;2
Turracher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;12,5;14,5;13,5;2
Vassacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;5;6;5,5;2
Vassacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;10;2016;0;0;0;0
Vassacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;239;255;247;2
Vassacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2016;0,0655;0,459;0,26225;2
Vassacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,054;0,113;0,0835;2
Vassacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2016;0,1;0,1;0,1;2
Vassacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;10;2016;0,012237;0,013679;0,012958;2
Vassacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2016;0,0127;0,0787;0,0457;2
Vassacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,0122;0,0129;0,01255;2
Vassacher See [tief.St.];pH;pH-Wert;;1;1;2016;8,2;8,4;8,3;2
Vassacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0;0;0;0
Vassacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;10;2016;0;0;0;0
Vassacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,001;0,001;0,001;2
Vassacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3;4,5;3,75;2
Vassacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;17,6;22,5;20,05;2
Weißensee (tief.St.);Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;2,75;1,875;4
Weißensee (tief.St.);K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;293;319;306,5;4
Weißensee (tief.St.);NH4-N;Ammonium-Stickstoff;mg/l;80;80;2016;0,2;0,297;0,261325;4
Weißensee (tief.St.);NH4-N;Ammonium-Stickstoff;mg/l;50;50;2016;0,0348;0,0564;0,049375;4
Weißensee (tief.St.);NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,012162;0,076643;0,036606;4
Weißensee (tief.St.);O2;Sauerstoffgehalt;mg/l;50;50;2016;0,1;0,1;0,1;4
Weißensee (tief.St.);P-ges;Phosphor gesamt;mg/l;0;80;2016;0,00642;0,008276;0,007072;4
Weißensee (tief.St.);P-ges;Phosphor gesamt;mg/l;94;94;2016;0,0237;0,0285;0,0261;4
Weißensee (tief.St.);P-ges;Phosphor gesamt;mg/l;50;50;2016;0,0079;0,0097;0,0087;4
Weißensee (tief.St.);P-ges;Phosphor gesamt;mg/l;0;6;2016;0,002624;0,006298;0,004988;4
Weißensee (tief.St.);pH;pH-Wert;;1;1;2016;8,3;8,6;8,4;4
Weißensee (tief.St.);PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;30;2016;0,251354;0,397403;0,31238;4
Weißensee (tief.St.);PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,356812;0,605206;0,473351;4
Weißensee (tief.St.);PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001;0,001;4
Weißensee (tief.St.);Sichttiefe;Sichttiefe;m;0;0;2016;6;9,5;8,2;4
Weißensee (tief.St.);Wassertemperatur;Wassertemperatur;°C;0;0;2016;8;20,5;14,075;4
Wernberger Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;10;2016;0,5;4;2,833333;3
Wernberger Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;4;2,833333;3
Wernberger Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;376;398;386,666667;3
Wernberger Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2016;1,53;1,723;1,6265;2
Wernberger Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,093;0,167;0,13;2
Wernberger Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2016;0,1;0,1;0,1;3
Wernberger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0088;0,0091;0,00895;2
Wernberger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2016;0,0166;0,0224;0,0195;2
Wernberger Badesee [tief.St.];pH;pH-Wert;;1;1;2016;7,9;8;7,966667;3
Wernberger Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;10;2016;0,203937;1,350875;0,777406;2
Wernberger Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,203937;2,122798;1,163368;2
Wernberger Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,0034;0,0022;2
Wernberger Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,9;4,8;4,466667;3
Wernberger Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;18;22,2;20,366667;3
Wörthersee Saag [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;30;2016;6,516483;7,728186;6,951531;4
Wörthersee Saag [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;2,25;8,25;5,5625;4
Wörthersee Saag [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;290;325;310,5;4
Wörthersee Saag [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;70;70;2016;0,453;0,626;0,537;4
Wörthersee Saag [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;50;50;2016;0,0248;0,217;0,10975;4
Wörthersee Saag [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,00565;0,111619;0,04127;4
Wörthersee Saag [tief.St.];O2;Sauerstoffgehalt;mg/l;50;50;2016;0,1;0,1;0,1;4
Wörthersee Saag [tief.St.];O2;Sauerstoffgehalt;mg/l;70;70;2016;0,1;0,1;0,1;4
Wörthersee Saag [tief.St.];P-ges;Phosphor gesamt;mg/l;50;50;2016;0,0117;0,0311;0,01795;4
Wörthersee Saag [tief.St.];P-ges;Phosphor gesamt;mg/l;0;50;2016;0,010749;0,013817;0,012437;4
Wörthersee Saag [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,00786;0,013981;0,011348;4
Wörthersee Saag [tief.St.];P-ges;Phosphor gesamt;mg/l;0;70;2016;0,0167;0,018411;0,017712;4
Wörthersee Saag [tief.St.];P-ges;Phosphor gesamt;mg/l;70;70;2016;0,062;0,084;0,0746;4
Wörthersee Saag [tief.St.];pH;pH-Wert;;1;1;2016;8,2;8,6;8,4;4
Wörthersee Saag [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,458806;2,262415;1,097009;4
Wörthersee Saag [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;30;2016;0,860233;1,847639;1,369032;4
Wörthersee Saag [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,002305;0,001651;4
Wörthersee Saag [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,4;9,5;5,2;4
Wörthersee Saag [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;5,4;21,9;13,425;4
Zmulner See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;13;14;13,5;2
Zmulner See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;461;504;482,5;2
Zmulner See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2016;1,655;3,3125;2,48375;2
Zmulner See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,481413;0,55843;0,519922;2
Zmulner See [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2016;0,1;3,3;1,7;2
Zmulner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,019221;0,020448;0,019835;2
Zmulner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2016;0,0118;0,0155;0,01365;2
Zmulner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,0236;0,02395;0,023775;2
Zmulner See [tief.St.];P-ges;Phosphor gesamt;mg/l;5;5;2016;0,0479;0,0604;0,05415;2
Zmulner See [tief.St.];pH;pH-Wert;;1;1;2016;8;8,1;8,05;2
Zmulner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0;0;0;0
Zmulner See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,001;0,002675;0,001838;2
Zmulner See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;2,3;3,2;2,75;2
Zmulner See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;22;22,1;22,05;2
